CUPS;FECHA-HORA;INV / VER;CONSUMO Wh;GENERACION Wh;REACT Q1;REACT Q2;REACT Q3;REACT Q4;METODO OBT.;FIRMEZA;NUM FACTURA
ES002100000100007PD;10/01/2023 20:00;0;319;0;1;0;0;201;1;1;3.23E+15
ES002100000100007PD;10/01/2023 21:00;0;369;0;0;0;0;197;1;1;3.23E+15
ES002100000100007PD;10/01/2023 22:00;0;722;0;0;0;0;255;1;1;3.23E+15
ES002100000100007PD;10/01/2023 23:00;0;366;0;0;0;0;216;1;1;3.23E+15
ES002100000100007PD;11/01/2023 0:00;0;435;0;0;0;0;155;1;1;3.23E+15
ES002100000100007PD;11/01/2023 1:00;0;256;0;1;0;0;149;1;1;3.23E+15
ES002100000100007PD;11/01/2023 2:00;0;174;0;0;0;0;140;1;1;3.23E+15
ES002100000100007PD;11/01/2023 3:00;0;150;0;0;0;0;153;1;1;3.23E+15
ES002100000100007PD;11/01/2023 4:00;0;154;0;0;0;0;154;1;1;3.23E+15
ES002100000100007PD;11/01/2023 5:00;0;146;0;0;0;0;154;1;1;3.23E+15
ES002100000100007PD;11/01/2023 6:00;0;167;0;0;0;0;153;1;1;3.23E+15
ES002100000100007PD;11/01/2023 7:00;0;163;0;1;0;0;141;1;1;3.23E+15
ES002100000100007PD;11/01/2023 8:00;0;290;0;1;0;0;142;1;1;3.23E+15
ES002100000100007PD;11/01/2023 9:00;0;430;0;0;0;0;175;1;1;3.23E+15
ES002100000100007PD;11/01/2023 10:00;0;319;0;0;0;0;174;1;1;3.23E+15
ES002100000100007PD;11/01/2023 11:00;0;167;0;1;0;0;154;1;1;3.23E+15
ES002100000100007PD;11/01/2023 12:00;0;171;0;0;0;0;157;1;1;3.23E+15
ES002100000100007PD;11/01/2023 13:00;0;159;0;1;0;0;146;1;1;3.23E+15
ES002100000100007PD;11/01/2023 14:00;0;560;0;0;0;0;130;1;1;3.23E+15
ES002100000100007PD;11/01/2023 15:00;0;256;0;1;0;0;128;1;1;3.23E+15
ES002100000100007PD;11/01/2023 16:00;0;428;0;1;0;0;132;1;1;3.23E+15
ES002100000100007PD;11/01/2023 17:00;0;1225;0;0;0;0;128;1;1;3.23E+15
ES002100000100007PD;11/01/2023 18:00;0;829;0;0;0;0;134;1;1;3.23E+15
ES002100000100007PD;11/01/2023 19:00;0;262;0;0;0;0;151;1;1;3.23E+15
ES002100000100007PD;11/01/2023 20:00;0;358;0;1;0;0;140;1;1;3.23E+15
ES002100000100007PD;11/01/2023 21:00;0;379;0;1;0;0;158;1;1;3.23E+15
ES002100000100007PD;11/01/2023 22:00;0;994;0;0;0;0;249;1;1;3.23E+15
ES002100000100007PD;11/01/2023 23:00;0;414;0;1;0;0;187;1;1;3.23E+15
ES002100000100007PD;12/01/2023 0:00;0;336;0;0;0;0;173;1;1;3.23E+15
ES002100000100007PD;12/01/2023 1:00;0;312;0;0;0;0;160;1;1;3.23E+15
ES002100000100007PD;12/01/2023 2:00;0;160;0;0;0;0;156;1;1;3.23E+15
ES002100000100007PD;12/01/2023 3:00;0;149;0;0;0;0;157;1;1;3.23E+15
ES002100000100007PD;12/01/2023 4:00;0;175;0;1;0;0;158;1;1;3.23E+15
ES002100000100007PD;12/01/2023 5:00;0;158;0;0;0;0;154;1;1;3.23E+15
ES002100000100007PD;12/01/2023 6:00;0;164;0;0;0;0;144;1;1;3.23E+15
ES002100000100007PD;12/01/2023 7:00;0;306;0;2;0;0;146;1;1;3.23E+15
ES002100000100007PD;12/01/2023 8:00;0;159;0;0;0;0;150;1;1;3.23E+15
ES002100000100007PD;12/01/2023 9:00;0;385;0;1;0;0;159;1;1;3.23E+15
ES002100000100007PD;12/01/2023 10:00;0;178;0;1;0;0;161;1;1;3.23E+15
ES002100000100007PD;12/01/2023 11:00;0;650;0;1;0;0;122;1;1;3.23E+15
ES002100000100007PD;12/01/2023 12:00;0;657;0;18;0;0;81;1;1;3.23E+15
ES002100000100007PD;12/01/2023 13:00;0;600;0;7;0;0;95;1;1;3.23E+15
ES002100000100007PD;12/01/2023 14:00;0;188;0;1;0;0;154;1;1;3.23E+15
ES002100000100007PD;12/01/2023 15:00;0;1400;0;0;0;0;262;1;1;3.23E+15
ES002100000100007PD;12/01/2023 16:00;0;794;0;0;0;0;213;1;1;3.23E+15
ES002100000100007PD;12/01/2023 17:00;0;1573;0;1;0;0;145;1;1;3.23E+15
ES002100000100007PD;12/01/2023 18:00;0;1304;0;0;0;0;119;1;1;3.23E+15
ES002100000100007PD;12/01/2023 19:00;0;321;0;0;0;0;200;1;1;3.23E+15
ES002100000100007PD;12/01/2023 20:00;0;369;0;0;0;0;167;1;1;3.23E+15
ES002100000100007PD;12/01/2023 21:00;0;299;0;0;0;0;154;1;1;3.23E+15
ES002100000100007PD;12/01/2023 22:00;0;442;0;1;0;0;203;1;1;3.23E+15
ES002100000100007PD;12/01/2023 23:00;0;355;0;0;0;0;183;1;1;3.23E+15
ES002100000100007PD;13/01/2023 0:00;0;253;0;0;0;0;175;1;1;3.23E+15
ES002100000100007PD;13/01/2023 1:00;0;225;0;0;0;0;172;1;1;3.23E+15
ES002100000100007PD;13/01/2023 2:00;0;223;0;0;0;0;157;1;1;3.23E+15
